Forma_sombrero,Forma_sombrero_C,Superficie_sombrero,Superficie_sombrero_C,Superficie_sombrero,Superficie_sombrero_C,Magulladuras,Magulladuras_C,Olor,Olor_C,Tipo_membrana,Tipo_membrana_C,Espaciado_membrana,Espaciado_membrana_C,Tamaño_membrana,Tamaño_membrana_C,Color_membrana,Color_membrana_C,Forma_tronco,Forma_tronco_C,Raiz_tronco,Raiz_tronco_C,Sup_tronco_arriba_anillo,Sup_tronco_arriba_anillo_C,Sup_tronco_debajo_anillo,Sup_tronco_debajo_anillo_C,ColorTronco_arriba_anillo,ColorTronco_arriba_anillo_C,ColorTronco_debajo_anillo,ColorTronco_debajo_anillo_C,Tipo_velo,Tipo_velo_C,Color_velo,Color_velo_C,Cantidad_anillos,Cantidad_anillos_C,Tipo_anillo,Tipo_anillo_C,Color_esporas,Color_esporas_C,Poblacion,Poblacion_C,Habitat,Habitat_C,Clase,Clase_C,id,weight,cluster
abotonada,1,escamosa,0,escamosa,0,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,1,1,7
abotonada,1,escamosa,1,escamosa,0,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,2,1,2
abotonada,1,escamosa,1,escamosa,0,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,3,1,3
abotonada,1,escamosa,1,escamosa,0,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,4,1,7
abotonada,1,escamosa,1,escamosa,0,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,5,1,7
abotonada,1,escamosa,1,escamosa,0,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,6,1,7
abotonada,1,escamosa,1,escamosa,0,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,7,1,7
abotonada,1,escamosa,0,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,8,1,2
abotonada,1,escamosa,0,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,9,1,7
abotonada,1,escamosa,0,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,10,1,3
abotonada,1,escamosa,0,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,11,1,7
abotonada,1,escamosa,0,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,12,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,13,1,7
